palavra,iteracao,tempo,memoria_pico_kb
g,1,0.000001,904
js,1,0.000001,904
wot,1,0.000000,904
nngi,1,0.000001,904
lfgmn,1,0.000001,904
nzmjgq,1,0.000001,904
dsnhxfp,1,0.000001,904
iitxwqcj,1,0.000000,904
wttknttmv,1,0.000000,904
otyvfcdzyr,1,0.000000,904
igqlbsenmkj,1,0.000000,904
dovuwwvrurhp,1,0.000000,904
tznyhaspmssth,1,0.000000,904
guohzkoavfghid,1,0.000001,904
opzjsxwdbyzqidp,1,0.000001,904
hoidxvwmycxqvfuo,1,0.000001,904
zwntjywdllliaoqxu,1,0.000001,904
oyziezeqiubikmrzvr,1,0.000001,904
qswrqfcfjtpkiwrzgzr,1,0.000000,904
ibklmdfvbkubmbjdtxbl,1,0.000001,904
hmpabvypltxssbcsoeqcd,1,0.000001,904
ievzdyztfybtppyjdczezp,1,0.000001,904
xmeygedalvwpsvmebalrwiy,1,0.000000,904
gbaoegddrqnnrplwghxmvrws,1,0.000001,904
nzqbantocdfapvnwelyanootw,1,0.000001,904
bqgwbqchnrprzjsrwcvdnauoqs,1,0.000000,904
zqiarjufystroypjplfiivcskvf,1,0.000001,904
mqxlfyilglinodwbwnqqfxroxomk,1,0.000001,904
mcsedqaeqnuwyoobbvplexjkhupup,1,0.000000,904
isifqkwbsqtsufjgduveqcodqhjdap,1,0.000001,904
hapslneanyazkvvmyjpeptqtbgheugy,1,0.000001,904
jbxnebuvnmderhprvcmesqypkcvyfmoo,1,0.000001,904
ykoquqzsusedpblldbfitpkmbbphqnzjl,1,0.000001,904
nigcovsiicfcdqlqdestelztoriupbzrwf,1,0.000000,904
hwkfvmqealtzkfwzbsopuethxooohbrnpnl,1,0.000001,904
pnkzdqaalvaeidkyioukqmvzilyszcuapgkq,1,0.000000,904
tcolgbsodumbdulgbabglqrekuyigalrquekw,1,0.000001,904
secvvwhpibfzpjtdhwjzvaeihmdvlmbzucfugf,1,0.000000,904
zifubadffsanpowdnpkwqoyfuwlxaiwycrlvqgf,1,0.000001,904
dwzrhdlqwowcifrbkwpfpvjyoeauhjgfbfxngisz,1,0.000001,904
tqhphcuvlvuxvwclrjliqqgwtjlbjobgsozvvygim,1,0.000001,904
yatnsqjwhywsntkoltcbsnealvjrvyzgqktzcqiegv,1,0.000001,904
airmswmjlosiilcckcrudhnchtkfltqokedflbxrjjp,1,0.000001,904
frflrccyhpfagndewquwnlsosmdrmshiroqqoaxviijo,1,0.000001,904
vczfbeuesezqsmxkpyvaunurhelxamspnaxmeyfjemwua,1,0.000001,904
wnngxroeycmufwlbhjqkyajkgfhiwthokvstpyodzptbif,1,0.000001,904
ogrqkjvbnngzxclntuzelbwvknphiadfbiejnhltlbfdhwv,1,0.000000,904
uxbeqblkqfxvqehdykbhrcthhncamoxyadwbbywbzylxhjgb,1,0.000001,904
basnsqsmxiamtgnpujlrqyuwisujqdpaamptdygersnjvxytg,1,0.000001,904
oldqxaddoicsutymunbrvzwzihbbxpibastvmgisuvedoivbne,1,0.000001,904
lkakntphbzflfyhtbeidhtdfcmixkfiwdpzyaygrldtswvyktvp,1,0.000001,904
vczcdmddgtyrdhdcdjisqhhtomomhclknluuipaxhqgqknkgjomp,1,0.000001,904
swbbsqrlojgdfebxmybhlwevjfquydpqmgvdirmevaierlxwcxjuc,1,0.000001,904
qhwnzdebdqravmhnnesbmwjsujvsqeakiqkltqwzatlrevjyepvupr,1,0.000001,904
milhdrvaxnyzlpzmgxrmoqqphqyzfnqkirutwybyrnkwsfuejbaufzn,1,0.000001,904
svykyfhparugsnequlloeitxwoqulnsnanpfcvfsisizfiikggadistw,1,0.000001,904
dfpjwfdgkhrtbldtqpojdbluldnqhhffqioytjsxqeclpleqijalqrfah,1,0.000001,904
dglcuquurgzawptazwzgohgllroqqdiyuslmrdzelznbrmlovabptgbezi,1,0.000001,904
ibayweiaofvcdovgpxdncddlfsmnjftdohiammytaqsmyfemleypyuptrdr,1,0.000001,904
asoagconqoquxzttmnfkjwpsmxcmpekufwdlwjphyrzvjezdnwqxzgeknizv,1,0.000001,904
qesaldckczuttdefjjghrhmyebqofizctzhmszuljvkgmmbdjondkuwezvhyn,1,0.000001,904
wahyjclupsjpqmktxuxzirzdwvdkwebljnxielgswiswplwfqryaonqmoiizvb,1,0.000001,904
mabjzyktymrmtzzcrvilzjoneoituzhydvctegovcxwhnelylmvpsqrgfgazrfe,1,0.000001,904
xmdrqtdfdcpsjoecflxauybyqkxihuocwpkurwznvifredsimwzuvzajuhnbrqic,1,0.000001,904
pyshobppdftpddeuewxbepknhglzhvsyndtxrxepjvwanlnnrbdrjtsanoaujuoir,1,0.000001,904
lpmmnofdbthkjbpubugndpfdukrbbiqtwhyavfrrhwlvvkbtsmyhdqaeyiyoteccdh,1,0.000001,904
serorocaqatzabphruzarcrqkgjggdjezakksorwlkpcrfmdwexvvrnohxoqkcvbuiy,1,0.000001,904
lkywwisbtjiaiuowzehjjlwxrklwdjwpmzszlstuoctapbkeehnptiavztdegplxbqbd,1,0.000001,904
ujfympmoaxnlngbhwgotwimarzwdleefwutzkrivlqybjdkwhpcpqkbpbhomvpbimbgnm,1,0.000001,904
vywouxkcxevdtvojcslzpgzahuwozhyulpfzcrjavuketyctjkbpkwylussstzqwvbeghu,1,0.000001,904
rokbgmrhoylykylbongaxuikusdtshejpdduusonkcpmyjjtypfrgwkzolhfaudarkiawpo,1,0.000001,904
denpgusjpwsczbtdvrjpvoplamfkiqodhbddmqebfrltelnhrsvxmybzymdmyiaeolwwhowc,1,0.000001,904
bvpihhhjifnixmxiqwzgfasycnfnuuyarsjfewrgnwdfdlouhfoziwpkpyxqiaxstvzkalzhh,1,0.000000,904
vztitvwjiqfmxblirpgmsesvrjaacpksflsfdxkmfgtsxirjhwsjeamgamhujwhakcrnyfusad,1,0.000001,904
rfmbaqiqviwaiacelzpzvuxjbfjqvilmvkadsqbjyehnebinortuultxujisoycvvalkhegejrr,1,0.000001,904
vsuijbdfuxvfwnjbyvaartkjrfuzcbyitiggmlkgjcaondvcpynexjedbmjwjjlcwkwazsyybieh,1,0.000001,904
idicpcmacyummkjnjincmdyszyzjynhfggozszlnmiebvmiydyxaeekyqmfwuarvzgatxsxetuuyt,1,0.000001,904
txoqygfdafcuojkzqwimizgxtyiwmdobhmkkfjkwdszdmvwtvwiipucsxplccufxnnpxsheerdrrht,1,0.000000,904
umjnajwbdgwdroeaeteyjlodijisbjyupnikmofdumknpnxgxpwehknnuhyxpgowyhxmbqtyejlofob,1,0.000001,904
zvrhbkfkscejvfzqyewqepjqhyyfvkwtvhsgdiqawbegifeszwnteiqqyxqyjocknqbebyflenscswki,1,0.000001,904
zcpsseyqlbrgmujpxjhquhanuokoycthbdnaheqbanzhaavogtjvbagovhtzbftetsycyafpdedmezuzc,1,0.000001,904
irpkmefixtobxdiogfdslufjthflonltwijzqfmgdsmuidliaipsnrfqvwjielhiqkunwsxcumudiyjtpr,1,0.000001,904
cagjohalvehawqvalvgaumwxahwjhdxjimtybndnfcnlojmnmwvaynecdpwnjveawqrxdfjjwrhthclooee,1,0.000001,904
ecftovsxdkmlvslokhmcrfybgndysxzgdwcpevfiabmitpdbjkrhkpaydkwuqdmcuwgugnhxdzgzyfzwcdnt,1,0.000001,904
olgqqggfpmsghmpfteoloorpkalsafufjzfinainazojfhwdjrqzjzlsajkybknsfrvvdkugstqzrppewsxny,1,0.000001,904
qssqljxvwnghgvbmzamhferjacqsmcppnjqkjwohugxwfvvehnorihkuythypqcfmzmwpazvxogtwcxsqcjnkj,1,0.000001,904
iuveqybdwzovaexlglwqexlgplocqvgcukfopyvfbvlqxkxfthdkypvbtrsiaaggiwetpzpewijaecpstarhtdk,1,0.000001,904
yxkoivmshlbagqtmfxolpkugrdnextrrcqpeilpydrdudpzgtminjhoqrazueupyfapogcwknhflsfpmvlsytcoe,1,0.000001,904
enlxstmfvrntbspbgbpcmkkcnxleqauarpgdkajtlluspbaaqkesqcoxzezkamcohvxgrvsmqbzudypfviarbjueb,1,0.000001,904
bhybdscghzqytusewzbmjdmfbkqyetitksregggodkustbbstslecgczjqmdebwrzjmqrccryflydkvsakkzprndna,1,0.000001,904
wfwbpkuccujszwzxrrwlmeenafpqdrurggpgkvjmrnviadtfrzbshckvynmlplskddtbbcaseisvhihkqoqmzscylor,1,0.000001,904
namcwdapyfvfdagmdujnmmuqhidtfvvtrvmyrtuwrtkltufzewxqjtwadhjwuvmozpovfiuugywajclfdurhgahnktkt,1,0.000001,904
apnoqhizvcliaeesvsgvtzhddnqbrbqgffnaqvuwawcoiytzmhwhfendxjxgfedfnscovjgsmahzvuvzhtserajbwgbye,1,0.000001,904
yghyuxjxhrekwhwsewhsmynqwchevyjfahpsrlxblvxcyamqwhezovggbouiwiswoywzvmnxxxaqjdyogtfydmbntgjgac,1,0.000001,904
iimwkwkwccnxhdrsvidameizywctpaodhayftbjjmmtgriisvoalvhdrmliacduthsxcrebnajbdmgtwgmflmwaljqasjvo,1,0.000001,904
kqekbncqfqbgfeceabfdiroktjvkrvtsviaknsinisezhnyswpeczbcrakuneeolfeojeawawpgetgycsfozzupliioxbeaa,1,0.000001,904
kpivbitnqstgsudzvqpkctabvvgazddcrcfndxxxbfazbvgmopuddzyyefoebazgckbdascsysghwjgcvupmhgjvlayiiupex,1,0.000001,904
izaagdhjkemlddhwtpterzivofhaylyuqxelsagugugwzotdypnruqakyfekjjnmhfbkieilyahkxbpfpmhsutnhxzndztgpvf,1,0.000001,904
ufeusmtvahbuncpalzgbazkpwpbynxfsxmpojznurzcfaanbxfotlhjcgelfpvpydnrwhzwvoydjntovtabyecdiwfwvauwlhjx,1,0.000001,904
,1,0.000001,904
bsagngqbnwarwnxckpyoqzugteszpqlfkwwxdzlbxtpdczjzfdyuurgyywjgykjmppstxckgmfdfouvfxiqlzansasaheuicdou,1,0.000001,904
z,1,0.000001,904
sgiwuawsfqipeoggxewfigcysxkohapvwospxfogfpbmdzaaqhzqqpcxjvofnwtvicopmegiflnpztjogavbmmgyvfnmgcgater,1,0.000001,904
rz,1,0.000001,904
egzfhhhdbdlsxbxcnwbdvflwiqbpbicyecuroolqiinrxiuuchkgcimgfdmbeledqvimwjtvqidckvgzrvqmcnwynparlzvqogo,1,0.000001,904
gkl,1,0.000001,904
wiatgahuixdiefhfvaabrjvbnyzcdgylgitzfuvkfempznctflqtaewmtzdijrakxgsnaqmhwjwxqfbeljpaacjfjkwtifwiiwk,1,0.000001,904
bkye,1,0.000000,904
qwtdrerwyzonbvofprqcyojdwmithmfoetcvddbdmppvmrmfkuhezkqosodyfucjygdzjaobzadiynmlcltuezhkbcmwiwxzbbb,1,0.000001,904
kaujz,1,0.000000,904
